State,Year,Quarter,Brands,Count,Percentage,S.no
andhra-pradesh,2018,4,Oppo,675093,0.098447242,224
andhra-pradesh,2018,4,Realme,476746,0.06952276,225
andhra-pradesh,2018,4,Motorola,250601,0.036544561,226
andhra-pradesh,2018,4,OnePlus,210161,0.03064729,227
andhra-pradesh,2018,4,Apple,209737,0.030585459,228
andhra-pradesh,2018,4,Huawei,176237,0.025700232,229
andhra-pradesh,2018,4,Lenovo,149583,0.021813341,230
andhra-pradesh,2018,4,Others,556203,0.081109789,231
andhra-pradesh,2019,1,Xiaomi,2110547,0.254804076,232
andhra-pradesh,2019,1,Samsung,1688342,0.203831719,233
andhra-pradesh,2019,1,Vivo,1262871,0.152465061,234
andhra-pradesh,2019,1,Oppo,835541,0.100873969,235
andhra-pradesh,2019,1,Realme,564832,0.068191562,236
andhra-pradesh,2019,1,Motorola,291830,0.035232323,237
andhra-pradesh,2019,1,Apple,241108,0.02910871,238
andhra-pradesh,2019,1,OnePlus,237269,0.028645232,239
andhra-pradesh,2019,1,Huawei,220082,0.026570264,240
andhra-pradesh,2019,1,Lenovo,171471,0.02070151,241
andhra-pradesh,2019,1,Others,659126,0.079575575,242
andhra-pradesh,2019,2,Xiaomi,2389374,0.254486445,243
andhra-pradesh,2019,2,Samsung,1914378,0.20389577,244
andhra-pradesh,2019,2,Vivo,1466695,0.156214137,245
andhra-pradesh,2019,2,Oppo,963352,0.102604291,246
andhra-pradesh,2019,2,Realme,641519,0.068326637,247
andhra-pradesh,2019,2,Motorola,324778,0.034591319,248
andhra-pradesh,2019,2,Apple,264860,0.028209598,249
andhra-pradesh,2019,2,OnePlus,254273,0.027082002,250
andhra-pradesh,2019,2,Huawei,250859,0.026718385,251
andhra-pradesh,2019,2,Lenovo,189151,0.020146016,252
andhra-pradesh,2019,2,Others,729764,0.077725399,253
andhra-pradesh,2019,3,Xiaomi,2656468,0.253996173,254
andhra-pradesh,2019,3,Samsung,2123659,0.203052045,255
andhra-pradesh,2019,3,Vivo,1674109,0.160068662,256
andhra-pradesh,2019,3,Oppo,1087660,0.103995786,257
