State,District,Year,Quarter,Count,Amount,S.no
arunachal-pradesh,east kameng district,2018,1,529,473824.766,341
arunachal-pradesh,lohit district,2018,1,3747,11496949.55,342
arunachal-pradesh,lepa rada district,2018,1,288,403149.467,343
arunachal-pradesh,tawang district,2018,1,2334,5055665.023,344
arunachal-pradesh,namsai district,2018,1,1400,2162984.705,345
arunachal-pradesh,lower dibang valley district,2018,2,1827,2561237.506,346
arunachal-pradesh,lower subansiri district,2018,2,1666,4113742.044,347
arunachal-pradesh,longding district,2018,2,4634,10271170.17,348
arunachal-pradesh,west siang district,2018,2,2579,7610989.567,349
arunachal-pradesh,kamle district,2018,2,12,23654.05837,350
arunachal-pradesh,upper siang district,2018,2,240,494895.0928,351
arunachal-pradesh,tirap district,2018,2,1903,3126393.765,352
arunachal-pradesh,shi yomi district,2018,2,0,0,353
arunachal-pradesh,papum pare district,2018,2,25363,66520931.2,354
arunachal-pradesh,kurung kumey district,2018,2,83,123737.222,355
arunachal-pradesh,anjaw district,2018,2,7,7871.020815,356
arunachal-pradesh,siang district,2018,2,336,740232.631,357
arunachal-pradesh,lower siang district,2018,2,2292,2179451.658,358
arunachal-pradesh,kra daadi district,2018,2,247,987135.996,359
arunachal-pradesh,changlang district,2018,2,6066,13294258.5,360
arunachal-pradesh,pakke kessang district,2018,2,48,58359.57139,361
arunachal-pradesh,dibang valley district,2018,2,68,65769.20367,362
arunachal-pradesh,west kameng district,2018,2,10466,25521321.34,363
arunachal-pradesh,east siang district,2018,2,6363,15285584.2,364
arunachal-pradesh,upper subansiri district,2018,2,1285,2911910.369,365
arunachal-pradesh,east kameng district,2018,2,522,1825297.462,366
arunachal-pradesh,lohit district,2018,2,6962,20520618.88,367
arunachal-pradesh,lepa rada district,2018,2,511,731444.7371,368
arunachal-pradesh,tawang district,2018,2,5447,13722374.81,369
arunachal-pradesh,namsai district,2018,2,3230,6271811.328,370
arunachal-pradesh,lower dibang valley district,2018,3,2824,6074558.207,371
arunachal-pradesh,lower subansiri district,2018,3,2346,5154231.737,372
arunachal-pradesh,longding district,2018,3,5288,18327334.05,373
arunachal-pradesh,west siang district,2018,3,3337,12966152.79,374
arunachal-pradesh,kamle district,2018,3,93,30504.94301,375
