State,District,Year,Quarter,RegisteredUser,Appopens,S.no
andhra-pradesh,krishna district,2022,4,2813645,156902257,315
andhra-pradesh,spsr nellore district,2022,4,1663684,103101986,316
andhra-pradesh,vizianagaram district,2022,4,1044490,64406405,317
andhra-pradesh,ysr district,2022,4,1556901,93975668,318
andhra-pradesh,west godavari district,2022,4,1893310,129116752,319
andhra-pradesh,chittoor district,2022,4,2636036,189655966,320
arunachal-pradesh,lower subansiri district,2018,1,498,0,321
arunachal-pradesh,tirap district,2018,1,557,0,322
arunachal-pradesh,papum pare district,2018,1,7649,0,323
arunachal-pradesh,anjaw district,2018,1,278,0,324
arunachal-pradesh,lower siang district,2018,1,270,0,325
arunachal-pradesh,dibang valley district,2018,1,66,0,326
arunachal-pradesh,west kameng district,2018,1,2202,0,327
arunachal-pradesh,shi yomi district,2018,1,49,0,328
arunachal-pradesh,east kameng district,2018,1,222,0,329
arunachal-pradesh,lohit district,2018,1,1207,0,330
arunachal-pradesh,lepa rada district,2018,1,210,0,331
arunachal-pradesh,lower dibang valley district,2018,1,601,0,332
arunachal-pradesh,longding district,2018,1,256,0,333
arunachal-pradesh,west siang district,2018,1,846,0,334
arunachal-pradesh,kamle district,2018,1,22,0,335
arunachal-pradesh,upper siang district,2018,1,301,0,336
arunachal-pradesh,kurung kumey district,2018,1,97,0,337
arunachal-pradesh,siang district,2018,1,192,0,338
arunachal-pradesh,kra daadi district,2018,1,88,0,339
arunachal-pradesh,changlang district,2018,1,1208,0,340
arunachal-pradesh,pakke kessang district,2018,1,39,0,341
arunachal-pradesh,east siang district,2018,1,1803,0,342
arunachal-pradesh,upper subansiri district,2018,1,572,0,343
arunachal-pradesh,tawang district,2018,1,1525,0,344
arunachal-pradesh,namsai district,2018,1,737,0,345
arunachal-pradesh,lower subansiri district,2018,2,724,0,346
arunachal-pradesh,tirap district,2018,2,856,0,347
arunachal-pradesh,papum pare district,2018,2,11418,0,348
arunachal-pradesh,anjaw district,2018,2,410,0,349
arunachal-pradesh,lower siang district,2018,2,494,0,350
arunachal-pradesh,dibang valley district,2018,2,112,0,351
arunachal-pradesh,west kameng district,2018,2,3442,0,352
arunachal-pradesh,shi yomi district,2018,2,80,0,353
arunachal-pradesh,east kameng district,2018,2,343,0,354
arunachal-pradesh,lohit district,2018,2,1898,0,355
arunachal-pradesh,lepa rada district,2018,2,318,0,356
arunachal-pradesh,lower dibang valley district,2018,2,893,0,357
arunachal-pradesh,longding district,2018,2,412,0,358
arunachal-pradesh,west siang district,2018,2,1224,0,359
arunachal-pradesh,kamle district,2018,2,37,0,360
arunachal-pradesh,upper siang district,2018,2,481,0,361
arunachal-pradesh,kurung kumey district,2018,2,153,0,362
arunachal-pradesh,siang district,2018,2,293,0,363
arunachal-pradesh,kra daadi district,2018,2,144,0,364
arunachal-pradesh,changlang district,2018,2,2014,0,365
arunachal-pradesh,pakke kessang district,2018,2,66,0,366
arunachal-pradesh,east siang district,2018,2,2646,0,367
arunachal-pradesh,upper subansiri district,2018,2,883,0,368
arunachal-pradesh,tawang district,2018,2,2266,0,369
arunachal-pradesh,namsai district,2018,2,1276,0,370
arunachal-pradesh,lower subansiri district,2018,3,1033,0,371
arunachal-pradesh,tirap district,2018,3,1226,0,372
arunachal-pradesh,papum pare district,2018,3,16009,0,373
arunachal-pradesh,anjaw district,2018,3,542,0,374
arunachal-pradesh,lower siang district,2018,3,717,0,375
arunachal-pradesh,dibang valley district,2018,3,145,0,376
arunachal-pradesh,west kameng district,2018,3,4765,0,377
arunachal-pradesh,shi yomi district,2018,3,118,0,378
arunachal-pradesh,east kameng district,2018,3,521,0,379
arunachal-pradesh,lohit district,2018,3,2612,0,380
arunachal-pradesh,lepa rada district,2018,3,431,0,381
arunachal-pradesh,lower dibang valley district,2018,3,1286,0,382
arunachal-pradesh,longding district,2018,3,644,0,383
arunachal-pradesh,west siang district,2018,3,1652,0,384
arunachal-pradesh,kamle district,2018,3,65,0,385
arunachal-pradesh,upper siang district,2018,3,646,0,386
arunachal-pradesh,kurung kumey district,2018,3,222,0,387
arunachal-pradesh,siang district,2018,3,373,0,388
arunachal-pradesh,kra daadi district,2018,3,190,0,389
arunachal-pradesh,changlang district,2018,3,2889,0,390
arunachal-pradesh,pakke kessang district,2018,3,103,0,391
arunachal-pradesh,east siang district,2018,3,3590,0,392
arunachal-pradesh,upper subansiri district,2018,3,1169,0,393
arunachal-pradesh,tawang district,2018,3,3112,0,394
arunachal-pradesh,namsai district,2018,3,1862,0,395
arunachal-pradesh,lower subansiri district,2018,4,1459,0,396
arunachal-pradesh,tirap district,2018,4,1684,0,397
arunachal-pradesh,papum pare district,2018,4,21342,0,398
arunachal-pradesh,anjaw district,2018,4,744,0,399
arunachal-pradesh,lower siang district,2018,4,936,0,400
arunachal-pradesh,dibang valley district,2018,4,178,0,401
arunachal-pradesh,west kameng district,2018,4,6492,0,402
arunachal-pradesh,shi yomi district,2018,4,144,0,403
arunachal-pradesh,east kameng district,2018,4,691,0,404
arunachal-pradesh,lohit district,2018,4,3588,0,405
arunachal-pradesh,lepa rada district,2018,4,548,0,406
arunachal-pradesh,lower dibang valley district,2018,4,1827,0,407
arunachal-pradesh,longding district,2018,4,923,0,408
arunachal-pradesh,west siang district,2018,4,2117,0,409
arunachal-pradesh,kamle district,2018,4,109,0,410
arunachal-pradesh,upper siang district,2018,4,868,0,411
arunachal-pradesh,kurung kumey district,2018,4,321,0,412
arunachal-pradesh,siang district,2018,4,483,0,413
arunachal-pradesh,kra daadi district,2018,4,255,0,414
arunachal-pradesh,changlang district,2018,4,4036,0,415
arunachal-pradesh,pakke kessang district,2018,4,138,0,416
arunachal-pradesh,east siang district,2018,4,4813,0,417
arunachal-pradesh,upper subansiri district,2018,4,1576,0,418
arunachal-pradesh,tawang district,2018,4,4085,0,419
arunachal-pradesh,namsai district,2018,4,2495,0,420
arunachal-pradesh,lower subansiri district,2019,1,1879,0,421
arunachal-pradesh,tirap district,2019,1,2082,0,422
arunachal-pradesh,papum pare district,2019,1,26298,0,423
arunachal-pradesh,anjaw district,2019,1,934,0,424
arunachal-pradesh,lower siang district,2019,1,1123,0,425
arunachal-pradesh,dibang valley district,2019,1,211,0,426
arunachal-pradesh,west kameng district,2019,1,8115,0,427
arunachal-pradesh,shi yomi district,2019,1,186,0,428
arunachal-pradesh,east kameng district,2019,1,876,0,429
arunachal-pradesh,lohit district,2019,1,4416,0,430
arunachal-pradesh,lepa rada district,2019,1,710,0,431
arunachal-pradesh,lower dibang valley district,2019,1,2314,0,432
arunachal-pradesh,longding district,2019,1,1152,0,433
arunachal-pradesh,west siang district,2019,1,2656,0,434
arunachal-pradesh,kamle district,2019,1,141,0,435
arunachal-pradesh,upper siang district,2019,1,1125,0,436
arunachal-pradesh,kurung kumey district,2019,1,385,0,437
arunachal-pradesh,siang district,2019,1,651,0,438
arunachal-pradesh,kra daadi district,2019,1,350,0,439
arunachal-pradesh,changlang district,2019,1,5210,0,440
arunachal-pradesh,pakke kessang district,2019,1,162,0,441
arunachal-pradesh,east siang district,2019,1,5899,0,442
arunachal-pradesh,upper subansiri district,2019,1,1906,0,443
arunachal-pradesh,tawang district,2019,1,5023,0,444
arunachal-pradesh,namsai district,2019,1,3153,0,445
arunachal-pradesh,lower subansiri district,2019,2,2463,11644,446
arunachal-pradesh,tirap district,2019,2,2697,12779,447
arunachal-pradesh,papum pare district,2019,2,32800,163673,448
arunachal-pradesh,anjaw district,2019,2,1175,4993,449
arunachal-pradesh,lower siang district,2019,2,1457,7737,450
arunachal-pradesh,dibang valley district,2019,2,241,258,451
arunachal-pradesh,west kameng district,2019,2,9782,73944,452
arunachal-pradesh,shi yomi district,2019,2,225,24,453
arunachal-pradesh,east kameng district,2019,2,1075,4146,454
